phen,parameter,trip_dist,area_type,y,value
HSL,ldv_own,na,city,2011,0
HSL,ldv_own,na,town,2011,0
HSL,ldv_own,na,rural,2011,0
HSL,ldv_own,na,large_city,2050,0.63
HSL,ldv_own,na,city,2050,0.63
HSL,ldv_own,na,town,2050,0.63
HSL,ldv_own,na,rural,2050,0.63
TOD,pdt,na,large_city,2011,0
TOD,pdt,na,city,2011,0
TOD,pdt,na,town,2011,0
TOD,pdt,na,rural,2011,0
TOD,pdt,na,large_city,2030,-0.024
TOD,pdt,na,city,2030,-0.034
TOD,pdt,na,town,2030,-0.044
TOD,pdt,na,rural,2030,0
TOD,pdt,na,large_city,2050,-0.2
TOD,pdt,na,city,2050,-0.3125
TOD,pdt,na,town,2050,-0.425
TOD,pdt,na,rural,2050,0
TOD,nmt_share,na,large_city,2011,0
TOD,nmt_share,na,city,2011,0
TOD,nmt_share,na,town,2011,0
TOD,nmt_share,na,rural,2011,0
TOD,nmt_share,na,large_city,2030,0.03
TOD,nmt_share,na,city,2030,0.03
TOD,nmt_share,na,town,2030,0.03
TOD,nmt_share,na,rural,2030,0
TOD,nmt_share,na,large_city,2050,0.17
TOD,nmt_share,na,city,2050,0.235
TOD,nmt_share,na,town,2050,0.3
TOD,nmt_share,na,rural,2050,0
TOD,bus_share,na,large_city,2011,0
TOD,bus_share,na,city,2011,0
TOD,bus_share,na,town,2011,0
TOD,bus_share,na,rural,2011,0
TOD,bus_share,na,large_city,2030,0.01
TOD,bus_share,na,city,2030,0.01
TOD,bus_share,na,town,2030,0.01
TOD,bus_share,na,rural,2030,0
TOD,bus_share,na,large_city,2050,0.12
TOD,bus_share,na,city,2050,0.36
TOD,bus_share,na,town,2050,0.6
TOD,bus_share,na,rural,2050,0
TOD,ldv_own,na,large_city,2011,0
TOD,ldv_own,na,city,2011,0
TOD,ldv_own,na,town,2011,0
TOD,ldv_own,na,rural,2011,0
TOD,ldv_own,na,large_city,2030,0
TOD,ldv_own,na,city,2030,0
TOD,ldv_own,na,town,2030,0
TOD,ldv_own,na,rural,2030,0
TOD,ldv_own,na,large_city,2050,-0.1
TOD,ldv_own,na,city,2050,-0.25
TOD,ldv_own,na,town,2050,-0.4
TOD,ldv_own,na,rural,2050,0
PT,bus_share,na,large_city,2011,0
PT,bus_share,na,city,2011,0
PT,bus_share,na,town,2011,0
PT,bus_share,na,rural,2011,0
PT,bus_share,na,large_city,2030,0.106
PT,bus_share,na,city,2030,0.093
PT,bus_share,na,town,2030,0.08
PT,bus_share,na,rural,2030,0.05
PT,tw_share,na,large_city,2030,0
PT,tw_share,na,city,2030,0
PT,tw_share,na,town,2030,0
PT,tw_share,na,rural,2030,0
PT,tw_share,na,large_city,2050,-0.45
PT,tw_share,na,city,2050,-0.4
PT,tw_share,na,town,2050,-0.35
PT,tw_share,na,rural,2050,-0.2
PT,ldv_share,na,large_city,2030,0
PT,ldv_share,na,city,2030,0
PT,ldv_share,na,town,2030,0
PT,ldv_share,na,rural,2030,0
PT,ldv_share,na,large_city,2050,-0.115
PT,ldv_share,na,city,2050,-0.115
PT,ldv_share,na,town,2050,-0.115
PT,ldv_share,na,rural,2050,-0.115
PT,tw_share,na,large_city,2011,0
PT,tw_share,na,city,2011,0
PT,tw_share,na,town,2011,0
PT,tw_share,na,rural,2011,0
PT,ldv_share,na,large_city,2011,0
PT,ldv_share,na,city,2011,0
PT,ldv_share,na,town,2011,0
PT,ldv_share,na,rural,2011,0
AV,vdt,na,large_city,2011,0
AV,vdt,na,city,2011,0
AV,vdt,na,town,2011,0
AV,vdt,na,rural,2011,0
AV,vdt,na,large_city,2050,0.16
AV,vdt,na,city,2050,0.1
AV,vdt,na,town,2050,0.05
AV,vdt,na,rural,2050,0
AV,bus_share,na,large_city,2011,0
AV,bus_share,na,city,2011,0
AV,bus_share,na,town,2011,0
AV,bus_share,na,rural,2011,0
AV,bus_share,na,large_city,2050,-0.1
AV,bus_share,na,city,2050,-0.08
AV,bus_share,na,town,2050,-0.05
AV,bus_share,na,rural,2050,0
ENV,ev_share,na,large_city,2011,0
ENV,ev_share,na,city,2011,0
ENV,ev_share,na,town,2011,0
ENV,ev_share,na,rural,2011,0
ENV,ev_share,na,large_city,2030,0.3
ENV,ev_share,na,city,2030,0.3
ENV,ev_share,na,town,2030,0.3
ENV,ev_share,na,rural,2030,0.3
ENV,ev_share,na,large_city,2050,0.6
ENV,ev_share,na,city,2050,0.6
ENV,ev_share,na,town,2050,0.6
ENV,ev_share,na,rural,2050,0.6
