n,y,area_type,value
India,2020,city,106.83522998336527
India,2020,large_city,219.4099562364695
India,2020,town,159.36086154314526
India,2025,city,120.38423297872235
India,2025,large_city,262.3458435263441
India,2025,town,181.4038401086819
India,2030,city,130.83402143031688
India,2030,large_city,302.5894172176634
India,2030,town,199.26930121684006
India,2035,city,142.711670849472
India,2035,large_city,337.6246608297243
India,2035,town,218.27729007507736
India,2040,city,153.37033564488732
India,2040,large_city,371.1730074193341
India,2040,town,235.59027167751233
India,2045,city,162.48478475638183
India,2045,large_city,402.28087838878406
India,2045,town,250.68847083633304
India,2050,city,169.90022792149168
India,2050,large_city,430.3445283034414
India,2050,town,263.30632566087223
India,2055,city,178.11344267101742
India,2055,large_city,451.14798495844235
India,2055,town,276.03492187300094
India,2060,city,185.04960031217277
India,2060,large_city,468.71675178611605
India,2060,town,286.7843729187118
India,2065,city,190.5429093192179
India,2065,large_city,482.63089129247544
India,2065,town,295.29774001691965
India,2070,city,194.63269704809764
India,2070,large_city,492.9900167190712
India,2070,town,301.6359715354897
India,2075,city,197.2554364499399
India,2075,large_city,499.6332188180714
India,2075,town,305.70061514140764
India,2080,city,198.55260978708642
India,2080,large_city,502.9188615434012
India,2080,town,307.7109358415489
India,2085,city,198.75970865763202
India,2085,large_city,503.44342744214913
India,2085,town,308.03189151841286
India,2090,city,198.12981882732328
India,2090,large_city,501.84796376782964
India,2090,town,307.0557069728195
India,2095,city,196.81076293464758
India,2095,large_city,498.50689417137386
India,2095,town,305.0114733382287
India,2100,city,194.9640599264562
India,2100,large_city,493.8293340250514
India,2100,town,302.1495078798984
Maldives,2011,city,0.019087782
Maldives,2011,large_city,0.0646257762
Maldives,2011,town,0.0526277418
Maldives,2012,city,0.020156543447368426
Maldives,2012,large_city,0.06927425330526317
Maldives,2012,town,0.05591050324736844
Maldives,2013,city,0.020706915789473687
Maldives,2013,large_city,0.07224412842105264
Maldives,2013,town,0.05778895578947369
Maldives,2014,city,0.02177457063157895
Maldives,2014,large_city,0.0771249395368421
Maldives,2014,town,0.06114568983157895
Maldives,2015,city,0.022841613473684214
Maldives,2015,large_city,0.08214058345263157
Maldives,2015,town,0.06454540307368421
Maldives,2016,city,0.02338777657894737
Maldives,2016,large_city,0.08539536884210527
Maldives,2016,town,0.06650985457894737
Maldives,2017,city,0.02445083473684211
Maldives,2017,large_city,0.09065317452631579
Maldives,2017,town,0.06998199073684211
Maldives,2018,city,0.02551169010526316
Maldives,2018,large_city,0.09605125658947368
Maldives,2018,town,0.07349625330526315
Maldives,2019,city,0.02604881052631579
Maldives,2019,large_city,0.09959963894736842
Maldives,2019,town,0.07554155052631578
Maldives,2020,city,0.026581472447368422
Maldives,2020,large_city,0.10322562770526317
Maldives,2020,town,0.07760479984736841
Maldives,2025,city,0.030035677493684212
Maldives,2025,large_city,0.12620185530463157
Maldives,2025,town,0.09080916520168421
Maldives,2030,city,0.03217996000800001
Maldives,2030,large_city,0.14662868734080003
Maldives,2030,town,0.1010170918512
Maldives,2035,city,0.035104963455000006
Maldives,2035,large_city,0.1650713392684
Maldives,2035,town,0.1118678168766
Maldives,2040,city,0.037896455678400005
Maldives,2040,large_city,0.18397006665696003
Maldives,2040,town,0.12264671110464
Maldives,2045,city,0.04055604238950001
