trip_dist,area_type,y,n,value
21_30,rural,2042,Bangladesh,2.292202471727425
21_30,town,2042,Bangladesh,3.2660916047929636
31_50,city,2042,Bangladesh,3.8599264420280477
31_50,large_city,2042,Bangladesh,4.453761279263131
31_50,rural,2042,Bangladesh,2.292202471727425
31_50,town,2042,Bangladesh,3.2660916047929636
51+,city,2042,Bangladesh,3.8599264420280477
51+,large_city,2042,Bangladesh,4.453761279263131
51+,rural,2042,Bangladesh,2.292202471727425
51+,town,2042,Bangladesh,3.2660916047929636
No_travel,city,2042,Bangladesh,3.8599264420280477
No_travel,large_city,2042,Bangladesh,4.453761279263131
No_travel,rural,2042,Bangladesh,2.292202471727425
No_travel,town,2042,Bangladesh,3.2660916047929636
00_01,city,2043,Bangladesh,3.8870293441509753
00_01,large_city,2043,Bangladesh,4.48503385863574
00_01,rural,2043,Bangladesh,2.308297425911195
00_01,town,2043,Bangladesh,3.28902482966621
02_05,city,2043,Bangladesh,3.8870293441509753
02_05,large_city,2043,Bangladesh,4.48503385863574
02_05,rural,2043,Bangladesh,2.308297425911195
02_05,town,2043,Bangladesh,3.28902482966621
06_10,city,2043,Bangladesh,3.8870293441509753
06_10,large_city,2043,Bangladesh,4.48503385863574
06_10,rural,2043,Bangladesh,2.308297425911195
06_10,town,2043,Bangladesh,3.28902482966621
11_20,city,2043,Bangladesh,3.8870293441509753
11_20,large_city,2043,Bangladesh,4.48503385863574
11_20,rural,2043,Bangladesh,2.308297425911195
11_20,town,2043,Bangladesh,3.28902482966621
21_30,city,2043,Bangladesh,3.8870293441509753
21_30,large_city,2043,Bangladesh,4.48503385863574
21_30,rural,2043,Bangladesh,2.308297425911195
21_30,town,2043,Bangladesh,3.28902482966621
31_50,city,2043,Bangladesh,3.8870293441509753
31_50,large_city,2043,Bangladesh,4.48503385863574
31_50,rural,2043,Bangladesh,2.308297425911195
31_50,town,2043,Bangladesh,3.28902482966621
51+,city,2043,Bangladesh,3.8870293441509753
51+,large_city,2043,Bangladesh,4.48503385863574
51+,rural,2043,Bangladesh,2.308297425911195
51+,town,2043,Bangladesh,3.28902482966621
No_travel,city,2043,Bangladesh,3.8870293441509753
No_travel,large_city,2043,Bangladesh,4.48503385863574
No_travel,rural,2043,Bangladesh,2.308297425911195
No_travel,town,2043,Bangladesh,3.28902482966621
00_01,city,2044,Bangladesh,3.9141322462739025
00_01,large_city,2044,Bangladesh,4.516306438008348
00_01,rural,2044,Bangladesh,2.324392380094964
00_01,town,2044,Bangladesh,3.3119580545394567
02_05,city,2044,Bangladesh,3.9141322462739025
02_05,large_city,2044,Bangladesh,4.516306438008348
02_05,rural,2044,Bangladesh,2.324392380094964
02_05,town,2044,Bangladesh,3.3119580545394567
06_10,city,2044,Bangladesh,3.9141322462739025
06_10,large_city,2044,Bangladesh,4.516306438008348
06_10,rural,2044,Bangladesh,2.324392380094964
06_10,town,2044,Bangladesh,3.3119580545394567
11_20,city,2044,Bangladesh,3.9141322462739025
11_20,large_city,2044,Bangladesh,4.516306438008348
11_20,rural,2044,Bangladesh,2.324392380094964
11_20,town,2044,Bangladesh,3.3119580545394567
21_30,city,2044,Bangladesh,3.9141322462739025
21_30,large_city,2044,Bangladesh,4.516306438008348
21_30,rural,2044,Bangladesh,2.324392380094964
21_30,town,2044,Bangladesh,3.3119580545394567
31_50,city,2044,Bangladesh,3.9141322462739025
31_50,large_city,2044,Bangladesh,4.516306438008348
31_50,rural,2044,Bangladesh,2.324392380094964
31_50,town,2044,Bangladesh,3.3119580545394567
51+,city,2044,Bangladesh,3.9141322462739025
51+,large_city,2044,Bangladesh,4.516306438008348
51+,rural,2044,Bangladesh,2.324392380094964
51+,town,2044,Bangladesh,3.3119580545394567
No_travel,city,2044,Bangladesh,3.9141322462739025
No_travel,large_city,2044,Bangladesh,4.516306438008348
No_travel,rural,2044,Bangladesh,2.324392380094964
No_travel,town,2044,Bangladesh,3.3119580545394567
00_01,city,2045,Bangladesh,3.94123514839683
00_01,large_city,2045,Bangladesh,4.547579017380957
00_01,rural,2045,Bangladesh,2.340487334278733
00_01,town,2045,Bangladesh,3.334891279412703
02_05,city,2045,Bangladesh,3.94123514839683
02_05,large_city,2045,Bangladesh,4.547579017380957
02_05,rural,2045,Bangladesh,2.340487334278733
02_05,town,2045,Bangladesh,3.334891279412703
06_10,city,2045,Bangladesh,3.94123514839683
06_10,large_city,2045,Bangladesh,4.547579017380957
06_10,rural,2045,Bangladesh,2.340487334278733
06_10,town,2045,Bangladesh,3.334891279412703
11_20,city,2045,Bangladesh,3.94123514839683
11_20,large_city,2045,Bangladesh,4.547579017380957
11_20,rural,2045,Bangladesh,2.340487334278733
