n,area_type,y,value
Afghanistan,town,2064,0.0891
Afghanistan,town,2065,0.0891
Afghanistan,town,2066,0.0891
Afghanistan,town,2067,0.0891
Afghanistan,town,2068,0.0891
Afghanistan,town,2069,0.0891
Afghanistan,town,2070,0.0891
Afghanistan,town,2071,0.0891
Afghanistan,town,2072,0.0891
Afghanistan,town,2073,0.0891
Afghanistan,town,2074,0.0891
Afghanistan,town,2075,0.0891
Afghanistan,town,2076,0.0891
Afghanistan,town,2077,0.0891
Afghanistan,town,2078,0.0891
Afghanistan,town,2079,0.0891
Afghanistan,town,2080,0.0891
Afghanistan,town,2081,0.0891
Afghanistan,town,2082,0.0891
Afghanistan,town,2083,0.0891
Afghanistan,town,2084,0.0891
Afghanistan,town,2085,0.0891
Afghanistan,town,2086,0.0891
Afghanistan,town,2087,0.0891
Afghanistan,town,2088,0.0891
Afghanistan,town,2089,0.0891
Afghanistan,town,2090,0.0891
Afghanistan,town,2091,0.0891
Afghanistan,town,2092,0.0891
Afghanistan,town,2093,0.0891
Afghanistan,town,2094,0.0891
Afghanistan,town,2095,0.0891
Afghanistan,town,2096,0.0891
Afghanistan,town,2097,0.0891
Afghanistan,town,2098,0.0891
Afghanistan,town,2099,0.0891
Afghanistan,town,2100,0.0891
Bangladesh,city,2011,0.3
Bangladesh,city,2012,0.2986842105263158
Bangladesh,city,2013,0.29736842105263156
Bangladesh,city,2014,0.29605263157894735
Bangladesh,city,2015,0.29473684210526313
Bangladesh,city,2016,0.2934210526315789
Bangladesh,city,2017,0.2921052631578947
Bangladesh,city,2018,0.2907894736842105
Bangladesh,city,2019,0.28947368421052627
Bangladesh,city,2020,0.28815789473684206
Bangladesh,city,2021,0.2868421052631579
Bangladesh,city,2022,0.2855263157894737
Bangladesh,city,2023,0.28421052631578947
Bangladesh,city,2024,0.28289473684210525
Bangladesh,city,2025,0.28157894736842104
Bangladesh,city,2026,0.2802631578947368
Bangladesh,city,2027,0.2789473684210526
Bangladesh,city,2028,0.2776315789473684
Bangladesh,city,2029,0.2763157894736842
Bangladesh,city,2030,0.27499999999999997
Bangladesh,city,2031,0.27449999999999997
Bangladesh,city,2032,0.27399999999999997
Bangladesh,city,2033,0.27349999999999997
Bangladesh,city,2034,0.27299999999999996
Bangladesh,city,2035,0.27249999999999996
Bangladesh,city,2036,0.27199999999999996
Bangladesh,city,2037,0.27149999999999996
Bangladesh,city,2038,0.27099999999999996
Bangladesh,city,2039,0.27049999999999996
Bangladesh,city,2040,0.26999999999999996
Bangladesh,city,2041,0.26949999999999996
Bangladesh,city,2042,0.26899999999999996
Bangladesh,city,2043,0.26849999999999996
Bangladesh,city,2044,0.26799999999999996
Bangladesh,city,2045,0.26749999999999996
Bangladesh,city,2046,0.26699999999999996
Bangladesh,city,2047,0.26649999999999996
Bangladesh,city,2048,0.26599999999999996
Bangladesh,city,2049,0.26549999999999996
Bangladesh,city,2050,0.26499999999999996
Bangladesh,city,2051,0.26499999999999996
Bangladesh,city,2052,0.26499999999999996
Bangladesh,city,2053,0.26499999999999996
Bangladesh,city,2054,0.26499999999999996
Bangladesh,city,2055,0.26499999999999996
Bangladesh,city,2056,0.26499999999999996
Bangladesh,city,2057,0.26499999999999996
Bangladesh,city,2058,0.26499999999999996
Bangladesh,city,2059,0.26499999999999996
Bangladesh,city,2060,0.26499999999999996
Bangladesh,city,2061,0.26499999999999996
Bangladesh,city,2062,0.26499999999999996
Bangladesh,city,2063,0.26499999999999996
Bangladesh,city,2064,0.26499999999999996
Bangladesh,city,2065,0.26499999999999996
Bangladesh,city,2066,0.26499999999999996
Bangladesh,city,2067,0.26499999999999996
Bangladesh,city,2068,0.26499999999999996
Bangladesh,city,2069,0.26499999999999996
Bangladesh,city,2070,0.26499999999999996
Bangladesh,city,2071,0.26499999999999996
Bangladesh,city,2072,0.26499999999999996
Bangladesh,city,2073,0.26499999999999996
Bangladesh,city,2074,0.26499999999999996
Bangladesh,city,2075,0.26499999999999996
Bangladesh,city,2076,0.26499999999999996
Bangladesh,city,2077,0.26499999999999996
Bangladesh,city,2078,0.26499999999999996
Bangladesh,city,2079,0.26499999999999996
Bangladesh,city,2080,0.26499999999999996
Bangladesh,city,2081,0.26499999999999996
Bangladesh,city,2082,0.26499999999999996
Bangladesh,city,2083,0.26499999999999996
Bangladesh,city,2084,0.26499999999999996
Bangladesh,city,2085,0.26499999999999996
Bangladesh,city,2086,0.26499999999999996
Bangladesh,city,2087,0.26499999999999996
Bangladesh,city,2088,0.26499999999999996
Bangladesh,city,2089,0.26499999999999996
Bangladesh,city,2090,0.26499999999999996
Bangladesh,city,2091,0.26499999999999996
Bangladesh,city,2092,0.26499999999999996
Bangladesh,city,2093,0.26499999999999996
Bangladesh,city,2094,0.26499999999999996
